ID,score_tag,agreement,subjectivity,confidence,irony,Happy,Fear,Sad,Bored,Angry,Excited,Class
1264,P+,AGREEMENT,OBJECTIVE,98,NONIRONIC,0.1986778137,0.1790719749,0.0866208816,0.090352702,0.1793497237,0.2659269042,0
1265,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1003413913,0.1752204234,0.1173746261,0.1740331275,0.3120968151,0.1209336167,0
1266,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0621043077,0.1145542617,0.1293354465,0.167112939,0.4533994483,0.0734935968,0
1267,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.237722692,0.1174023356,0.1507996238,0.0993726224,0.2202780475,0.1744246787,0
1268,NEU,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0261535384,0.453570404,0.2218548837,0.0473277227,0.0869379932,0.164155458,1
1269,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1648267285,0.1228530455,0.1544607693,0.0630093855,0.2865249845,0.2083250867,1
1270,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0549230657,0.0784724395,0.1277521842,0.0786770066,0.5798217646,0.0803535395,0
1271,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1003697945,0.099494585,0.1836929165,0.0259477187,0.4699938732,0.1205011122,1
1272,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0789608064,0.1936252887,0.185721596,0.1347900624,0.3042289753,0.1026732711,0
1273,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.183437493,0.268043264,0.2514715765,0.0475612254,0.1525496574,0.0969367836,0
1274,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2893922103,0.1934345773,0.0923497927,0.0324180392,0.0884338475,0.303971533,0
1275,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0443347738,0.1016003467,0.1727309967,0.058382281,0.5825972464,0.0403543554,1
1276,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3707520456,0.1176753299,0.0778600742,0.0546629072,0.0902456615,0.2888039816,1
1277,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0180756201,0.0565801592,0.1259346527,0.0314993655,0.7510385608,0.0168716416,1
1278,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.0478533826,0.4046332273,0.2367647673,0.0487529184,0.1829892273,0.0790064771,1
1279,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.3099474011,0.157430307,0.1244610167,0.0404607886,0.178251985,0.1894485016,0
1280,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0682623996,0.1994966221,0.3146048027,0.0742491319,0.2550302884,0.0883567553,0
1281,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0817871439,0.1277892101,0.1281285247,0.1737494982,0.3074293265,0.1811162967,0
1282,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0891829715,0.2505569616,0.1508371242,0.1804020578,0.2073819218,0.1216389631,1
1283,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0838785192,0.2187968428,0.3381331505,0.0410378419,0.2153211942,0.1028324513,0
1284,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1537111347,0.078973822,0.0661090192,0.098572798,0.3539956749,0.2486375511,1
1285,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.102018457,0.2875596823,0.1985588339,0.0777905909,0.1533196412,0.1807527946,0
