ID,score_tag,agreement,subjectivity,confidence,irony,Happy,Fear,Sad,Bored,Angry,Excited,Class
86,N,AGREEMENT,OBJECTIVE,97,NONIRONIC,0.1314689135,0.2171688302,0.1388206271,0.0771610462,0.2627975431,0.1725830398,0
87,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0553876775,0.1793403751,0.1563378781,0.1975180944,0.3006662967,0.1107496782,0
88,P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.0198008472,0.1197916109,0.0592479861,0.0336476627,0.7345671293,0.0329447639,0
89,N+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0773761065,0.11592471,0.1456439292,0.0679737444,0.437567642,0.1555138678,0
90,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1787129615,0.1353402956,0.1491899331,0.1255932426,0.2257957804,0.1853677868,0
91,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1713631895,0.168675279,0.1137484063,0.080159852,0.2117570726,0.2542962006,0
92,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.1080117492,0.1155627645,0.1398239572,0.132620656,0.4183890835,0.0855917896,0
93,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0585911435,0.2037967147,0.2013010315,0.1228550376,0.2799441336,0.1335119391,0
94,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1445943737,0.3191981671,0.1831029894,0.0664552378,0.0975207498,0.1891284823,0
95,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1950287759,0.1798540001,0.1656550792,0.0275746971,0.2455201425,0.1863673052,0
96,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1200038354,0.1998857095,0.1883698558,0.151094805,0.1869120626,0.1537337317,0
97,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0497367543,0.1618588332,0.2660731004,0.0905675989,0.3568328898,0.0749308235,0
98,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.106594939,0.1642047006,0.169893179,0.2165113591,0.1999830629,0.1428127594,0
